alcohol,volatile acidity,sulphates,citric acid,density,chlorides,quality
9.4,0.7,0.56,0,0.9978,0.076,5
9.8,0.88,0.68,0,0.9968,0.098,5
9.8,0.76,0.65,0.04,0.997,0.092,5
9.4,0.7,0.56,0,0.9978,0.076,5
9.4,0.66,0.56,0,0.9978,0.075,5
9.4,0.6,0.46,0.06,0.9964,0.069,5
10,0.65,0.47,0,0.9946,0.065,7
9.5,0.58,0.57,0.02,0.9968,0.073,7
10.5,0.5,0.8,0.36,0.9978,0.071,5
9.2,0.58,0.54,0.08,0.9959,0.097,5
10.5,0.5,0.8,0.36,0.9978,0.071,5
9.9,0.615,0.52,0,0.9943,0.089,5
9.1,0.61,1.56,0.29,0.9974,0.114,5
9.2,0.62,0.88,0.18,0.9986,0.176,5
9.2,0.62,0.93,0.19,0.9986,0.17,5
10.5,0.28,0.75,0.56,0.9969,0.092,7
9.3,0.56,1.28,0.28,0.9968,0.368,5
9.7,0.39,0.65,0.31,0.9982,0.082,5
9.5,0.43,0.91,0.21,0.9966,0.106,5
9.4,0.49,0.53,0.11,0.9968,0.084,5
9.3,0.39,0.56,0.16,0.9955,0.08,5
9.5,0.41,0.59,0.24,0.9962,0.08,5
9.5,0.43,0.91,0.21,0.9966,0.106,5
9.4,0.71,0.55,0,0.9972,0.08,5
10.1,0.675,0.54,0.07,0.9958,0.089,5
9.8,0.655,0.66,0.12,0.9966,0.083,5
9.2,0.32,0.55,0.25,0.9957,0.103,5
9.7,0.38,0.73,0.28,0.9968,0.066,7
10.5,0.45,0.83,0.36,0.9978,0.074,5
10.5,0.45,0.83,0.36,0.9978,0.074,5
10.3,0.66,1.2,0.22,0.9968,0.069,5
9.5,0.67,0.52,0.02,0.9962,0.05,5
9.2,0.935,0.73,0.43,0.997,0.114,5
9.5,0.29,0.58,0.52,0.9969,0.113,5
9.2,0.4,0.56,0.23,0.9958,0.066,5
9.2,0.31,0.58,0.37,0.9954,0.074,5
9.2,0.66,0.74,0.26,0.9971,0.074,5
9.4,0.38,0.56,0.36,0.997,0.081,5
9.5,0.62,0.53,0.04,0.9978,0.084,5
9.6,0.42,0.63,0.57,0.9971,0.07,5
9.4,0.63,0.77,0.12,0.9983,0.111,5
10,0.59,0.59,0.18,0.9975,0.076,5
9.2,0.4,0.64,0.4,0.998,0.079,5
9.3,0.69,0.71,0.49,0.9968,0.115,5
9.5,0.52,0.62,0.16,0.9968,0.085,7
9.8,0.735,0.57,0.05,0.9966,0.081,5
10.9,0.725,0.39,0.05,0.9962,0.086,5
10.9,0.725,0.39,0.05,0.9962,0.086,5
9.6,0.52,0.58,0.11,0.9968,0.079,5
10.7,0.705,0.58,0.07,0.9962,0.076,5
10.7,0.32,0.79,0.57,0.9969,0.074,5
9.5,0.67,0.48,0.23,0.9962,0.088,5
9.5,0.69,0.48,0.22,0.9961,0.084,5
9.6,0.32,0.82,0.54,0.9984,0.094,5
10.5,0.41,0.66,0.64,0.9986,0.093,5
10.5,0.41,0.66,0.64,0.9986,0.093,5
10.1,0.75,0.52,0.12,0.9958,0.086,5
9.2,0.45,0.56,0.2,0.9958,0.069,5
9.4,0.43,1.28,0.7,0.9974,0.464,5
9.1,0.5,0.57,0.47,0.997,0.086,5
9.4,0.67,1.14,0.26,0.9969,0.401,5
10.1,0.55,0.59,0.15,0.9961,0.076,5
9.6,0.49,0.64,0.26,0.9966,0.062,5
9.5,0.39,1.22,0.44,0.9978,0.107,5
9,0.62,0.53,0.08,0.9978,0.076,5
9.5,0.52,0.54,0.26,0.9964,0.079,5
9.8,0.49,1.98,0.29,0.9972,0.11,5
9.6,0.49,0.64,0.26,0.9966,0.062,5
10.7,0.775,0.56,0,0.9965,0.102,5
9.2,0.5,0.63,0.25,0.9963,0.07,5
9.8,0.9,0.56,0.06,0.9967,0.079,5
9.2,0.575,0.51,0.22,0.9967,0.077,5
9.4,0.49,0.48,0.24,0.996,0.07,5
9.2,0.575,0.51,0.22,0.9967,0.077,5
9.3,0.41,1.31,0.68,0.9973,0.467,5
9.3,0.63,0.79,0.31,0.9969,0.088,5
9.3,0.785,0.69,0.52,0.9969,0.122,5
9.5,0.56,0.93,0.19,0.9964,0.104,5
9.8,0.62,0.66,0.09,0.9964,0.084,5
9.8,0.6,0.66,0.1,0.9964,0.085,5
9.5,0.56,0.93,0.19,0.9964,0.104,5
9,1.07,0.57,0.09,0.9962,0.178,5
9.2,0.695,0.52,0,0.998,0.075,5
9.5,0.71,0.53,0,0.9976,0.08,5
9.5,0.5,0.48,0.17,0.996,0.082,5
9.4,0.62,0.7,0.04,0.9984,0.146,5
10.9,1.33,0.49,0,0.9964,0.081,5
10.9,1.33,0.48,0,0.9964,0.082,5
10.5,0.59,0.92,0.16,0.9962,0.065,7
9.4,0.38,0.57,0.15,0.9955,0.072,5
9.4,0.745,0.66,0.56,0.9968,0.118,5
13,0.5,0.63,0.09,0.9937,0.049,5
13,0.5,0.63,0.09,0.9937,0.049,5
9.6,0.745,0.82,0.11,0.9965,0.09,5
9.5,0.715,0.77,0.15,0.9968,0.089,5
9.2,0.415,0.64,0.36,0.9972,0.081,5
9.5,0.56,0.54,0.19,0.9962,0.081,5
9.5,0.56,0.54,0.19,0.9962,0.081,5
9.6,0.745,0.82,0.11,0.9965,,5
9.5,0.715,0.77,0.15,0.9968,,5
9.4,0.39,0.58,0.08,0.9954,,5
9.4,0.67,0.62,0.55,0.9968,,5
10,0.68,0.52,0.02,0.9944,,5
9.3,0.49,0.8,0.26,0.9968,,5
10.1,0.6,0.54,0.03,0.995,,5
10.1,0.6,0.54,0.03,0.995,,5
10.5,0.43,0.72,0.42,0.9973,,5
10.5,0.43,0.71,0.42,0.9973,0.071,5
10.5,0.43,0.72,0.42,0.9973,0.07,5
10.5,0.43,0.71,0.42,0.9973,0.071,5
9.3,0.68,0.5,0,0.9969,0.073,5
9.6,0.95,0.56,0.03,0.9959,0.09,5
9.4,0.6,0.49,0.26,0.9982,0.07,5
9.4,0.59,0.49,0.26,0.9981,0.07,5
9.5,0.63,0.62,0.48,0.9961,0.1,5
10.2,0.64,0.52,0.1,0.9956,0.085,5
9.5,0.705,1.59,0.24,0.9964,0.36,5
9.5,0.38,0.47,0.21,0.9961,0.08,5
9.5,0.5,0.78,0.04,0.9958,0.085,5
9.5,0.38,0.47,0.21,0.9961,0.08,5
9.6,0.805,0.56,0,0.9969,0.068,5
9.5,0.61,0.59,0.14,0.9969,0.067,5
9.5,0.61,0.59,0.14,0.9969,0.067,5
9.3,0.61,1.02,0.49,0.9972,0.27,5
9.3,0.73,0.52,0.02,0.9972,0.076,5
9.3,0.61,0.58,0.2,0.9971,0.077,5
9.7,0.31,0.53,0.57,0.9971,0.111,5
9.2,0.39,0.55,0.48,0.9972,0.082,5
9.7,0.705,0.49,0.1,0.9976,0.084,5
9.5,0.5,0.55,0.33,0.9968,0.084,5
9.5,0.49,0.55,0.32,0.9968,0.082,5
9.4,0.5,0.62,0.35,0.9976,0.077,5
9.5,0.63,0.61,0.12,0.9969,0.099,5
9.7,0.55,0.55,0.21,0.9964,0.071,5
9.7,0.55,0.55,0.21,0.9964,0.071,5
9.4,0.59,0.54,0.33,0.9968,0.074,5
10.2,0.58,0.59,0.3,0.9968,0.074,5
13,0.835,0.85,0.08,0.9924,0.046,7
10.3,0.32,0.82,0.47,0.99695,0.056,7
9.3,0.37,1.03,0.48,0.9975,0.097,5
9.5,0.5,0.79,0.11,0.99545,0.075,5
9.2,0.42,0.55,0.35,0.9961,0.088,5
10.8,0.3,0.77,0.74,0.9994,0.095,7
10.8,0.3,0.77,0.74,0.9994,0.095,7
9.3,0.57,0.53,0.31,0.99625,0.069,5
9.4,0.44,0.67,0.28,0.9966,0.1,5
10.5,0.3,0.88,0.58,0.998,0.054,7
10.1,0.57,0.43,0.26,0.9959,0.06,5
10.5,0.49,0.76,0.49,0.9974,0.06,5
11,0.625,0.57,0.16,0.9962,0.101,5
9.1,0.725,0.55,0.22,0.9967,0.072,5
9.7,0.49,0.54,0.19,0.9957,,5
9.5,0.53,0.6,0.33,0.99655,,5
9.4,0.53,0.57,0.26,0.9957,,5
9.5,0.61,0.6,0.04,0.99525,,5
9.8,0.82,0.63,0.14,0.9984,,5
11,0.52,0.5,0.25,0.99685,0.081,5
12.2,0.48,0.62,0.04,0.9927,0.054,7
11,0.52,0.5,0.25,0.99685,0.081,5
9.3,0.635,1.09,0.37,0.9971,0.263,5
9.2,0.21,0.84,0.44,1.00005,0.075,7
9.2,0.21,0.84,0.44,1.00005,0.075,7
9.5,0.68,0.52,0.07,0.99685,0.075,5
9.3,0.6,0.45,0.17,0.9963,0.072,5
10.5,0.35,0.53,0.48,0.9986,0.09,5
9.5,0.775,0.59,0.42,0.9959,0.092,5
9.3,0.57,0.57,0.23,0.99675,0.073,5
9.2,0.34,0.62,0.37,0.998,0.075,5
9.2,0.695,0.67,0,0.9968,0.075,5
9.4,0.41,1.26,0.76,0.9968,0.611,5
10.5,0.31,0.8,0.47,0.99965,0.085,7
9.3,0.33,0.65,0.23,,0.077,5
10,0.52,0.57,0.03,,0.07,5
9.3,0.37,0.67,0.23,,0.077,5
10.9,0.56,0.87,0.49,,0.064,5
10.2,0.26,0.72,0.52,,0.071,7
10.1,0.37,0.78,0.58,,0.071,5
9.4,0.715,0.64,0.2,,0.076,5
9.4,0.65,0.77,0.18,,0.088,5
10.5,0.4,0.77,0.32,0.9991,0.087,7
9.9,0.27,1.08,0.68,0.9972,0.358,7
9.1,0.52,0.57,0.12,0.9971,0.067,5
10.5,0.4,0.77,0.32,0.9991,0.087,7
9.8,0.59,0.71,0.07,1.00015,0.102,5
9.8,0.59,0.71,0.07,1.00015,0.102,5
10.6,0.52,0.86,0.09,0.9976,0.091,7
9.2,0.42,0.95,0.53,1.001,0.105,5
10.6,0.52,0.86,0.09,0.9976,0.091,7
10.5,0.2,0.71,0.48,0.9979,0.343,5
9.5,0.5,0.64,0.46,1.0001,0.073,5
9.9,0.83,0.52,0.37,0.9981,0.086,5
9.6,0.63,0.73,0.06,0.99855,0.083,5
9.7,0.65,0.8,0.02,0.9993,0.094,5
9.6,0.67,0.71,0.06,0.99845,0.08,5
10,0.705,0.72,0.12,0.9994,0.092,5
9.5,0.67,0.54,0.12,0.996,0.186,5
9.2,0.65,0.52,0.6,0.9973,0.112,5
9.4,0.62,0.52,0.32,0.9966,0.082,5
9.4,0.47,0.53,0.3,0.9976,0.076,5
11,0.36,0.68,0.29,0.99645,0.087,5
10.1,0.56,0.65,0.23,0.9996,0.102,5
11.5,0.66,0.71,0.39,0.9989,0.083,7
11.5,0.66,0.71,0.39,0.9989,0.083,7
9.7,0.61,0.62,0.26,0.99975,0.09,5
9.3,0.62,0.63,0.05,0.99735,0.079,5
11.5,0.53,0.74,0.66,0.9978,0.121,7
11.5,0.44,0.83,0.5,0.998,0.107,5
9.5,0.46,0.62,0.39,0.9981,0.061,5
11,0.56,0.52,0.08,0.9958,0.105,5
11.7,0.65,0.74,0.01,0.9963,0.078,7
12.2,0.695,0.84,0.53,0.9992,0.128,7
10.3,0.43,0.64,0.32,0.9974,0.08,5
9.8,0.28,1.36,0.54,0.9997,0.082,7
9.9,0.685,0.81,0,0.9979,0.067,5
12.3,0.815,0.89,0.02,0.9955,0.072,7
9.3,0.665,0.73,0,0.9974,0.09,5
13,0.53,0.77,0.79,1.0018,0.12,5
11,0.41,0.88,0.52,1.0001,0.08,5
11.7,0.42,0.75,0.66,0.997,0.116,7
10.4,0.43,0.85,0.66,1,0.109,7
9.4,0.7,0.7,0.23,0.9973,0.099,5
10,0.58,0.56,0.66,0.9992,0.072,5
10.2,0.46,0.87,0.63,0.9988,0.071,5
10,0.615,0.73,0.66,1.0022,0.083,7
10,0.615,0.73,0.66,1.0022,0.083,7
9,0.575,0.69,0.61,1,0.076,5
9.4,0.34,0.64,0.52,0.9998,0.159,5
12,0.27,1.13,0.53,0.9962,0.074,7
9.9,0.765,0.78,0.02,0.9975,0.063,5
9.2,0.55,0.63,0.22,0.9959,0.106,5
11.8,0.54,0.83,0.71,0.9984,0.124,7
12,0.27,1.13,0.53,0.9962,0.074,7
9.2,0.51,0.74,0.28,0.998,0.087,5
10,0.38,0.7,0.31,0.9982,0.096,7
9.5,0.37,0.51,0.52,0.998,0.082,5
9.1,0.665,0.54,0.61,0.997,0.112,5
9.9,0.6,0.57,0.65,0.9997,0.063,5
13,0.37,0.6,0.76,1.0004,0.066,7
9.9,0.735,0.53,0.02,0.9994,0.122,5
9.4,0.765,0.55,0.22,0.9963,0.064,5
9.9,0.735,0.53,0.02,0.9994,0.122,5
9.1,0.69,0.61,0.05,0.9974,0.075,5
10.8,0.39,0.63,0.66,0.9996,0.093,7
9.5,0.45,0.62,0.35,0.9987,0.08,5
9.3,0.735,0.64,0.16,0.9966,0.1,5
11.7,0.4,0.82,0.53,0.9986,0.097,7
9.5,0.52,0.61,0.34,0.9982,0.087,5
9.3,0.725,1.07,0.24,1.0014,0.117,5
10.5,0.58,0.48,0.12,0.9956,0.091,5
